fecha_diagnostico,Confirmado,tasa
2020-03-02,0.0,0.0
2020-03-03,1.0,0.14285714285714285
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,7.0,0.6363636363636364
2020-03-07,1.0,0.14285714285714285
2020-03-08,2.0,0.07692307692307693
2020-03-09,6.0,0.46153846153846156
2020-03-10,9.0,0.24324324324324326
2020-03-11,4.0,0.12903225806451613
2020-03-12,10.0,0.22727272727272727
2020-03-13,6.0,0.07142857142857142
2020-03-14,7.0,0.14
2020-03-15,11.0,0.13580246913580246
2020-03-16,10.0,0.10309278350515463
2020-03-17,18.0,0.1487603305785124
2020-03-18,29.0,0.15104166666666666
2020-03-19,22.0,0.16058394160583941
2020-03-20,30.0,0.14018691588785046
2020-03-21,62.0,0.21016949152542372
2020-03-22,54.0,0.24324324324324326
2020-03-23,33.0,0.12547528517110265
2020-03-24,105.0,0.2734375
2020-03-25,116.0,0.2672811059907834
2020-03-26,110.0,0.22964509394572025
2020-03-27,82.0,0.22527472527472528
2020-03-28,69.0,0.17037037037037037
2020-03-29,109.0,0.17637540453074432
2020-03-30,84.0,0.16030534351145037
2020-03-31,90.0,0.1541095890410959
2020-04-01,121.0,0.13052858683926646
2020-04-02,144.0,0.10155148095909731
2020-04-03,107.0,0.08275328692962104
2020-04-04,105.0,0.09012875536480687
2020-04-05,72.0,0.08089887640449438
2020-04-06,105.0,0.09251101321585903
2020-04-07,76.0,0.055636896046852125
2020-04-08,102.0,0.06292412091301666
2020-04-09,100.0,0.06747638326585695
2020-04-10,127.0,0.10316815597075549
2020-04-11,72.0,0.051209103840682786
2020-04-12,71.0,0.05926544240400668
2020-04-13,92.0,0.06371191135734072
2020-04-14,128.0,0.07322654462242563
2020-04-15,130.0,0.07262569832402235
2020-04-16,108.0,0.06153846153846154
2020-04-17,88.0,0.05092592592592592
2020-04-18,122.0,0.06681270536692223
2020-04-19,62.0,0.0484375
2020-04-20,98.0,0.05093555093555094
2020-04-21,160.0,0.07005253940455342
2020-04-22,122.0,0.05968688845401174
2020-04-23,138.0,0.06353591160220995
2020-04-24,191.0,0.07537490134175218
2020-04-25,168.0,0.07706422018348624
2020-04-26,93.0,0.06471816283924843
2020-04-27,127.0,0.0716704288939052
2020-04-28,126.0,0.054616384915474644
2020-04-29,149.0,0.06182572614107884
2020-04-30,142.0,0.06373429084380611
2020-05-01,140.0,0.05629272215520708
2020-05-02,101.0,0.05324196099103848
2020-05-03,105.0,0.05651237890204521
2020-05-04,121.0,0.05029093931837074
2020-05-05,183.0,0.05555555555555555
2020-05-06,205.0,0.06420294393986846
2020-05-07,239.0,0.07415451442755197
2020-05-08,201.0,0.06638044914134743
2020-05-09,251.0,0.08272907053394858
2020-05-10,201.0,0.10651828298887123
2020-05-11,286.0,0.09539693128752502
2020-05-12,291.0,0.09270468302007008
2020-05-13,328.0,0.08862469602810051
2020-05-14,308.0,0.08752486501847116
2020-05-15,396.0,0.10673854447439353
2020-05-16,345.0,0.10700992555831265
2020-05-17,243.0,0.10279187817258884
2020-05-18,391.0,0.11174621320377251
2020-05-19,532.0,0.11062590975254731
2020-05-20,616.0,0.12489862124898621
2020-05-21,752.0,0.14808979913351714
2020-05-22,814.0,0.16721446179129007
2020-05-23,618.0,0.1545
2020-05-24,506.0,0.15361262902246509
2020-05-25,552.0,0.15139879319802524
2020-05-26,652.0,0.15902439024390244
2020-05-27,718.0,0.14644095451764225
2020-05-28,769.0,0.15607874974629593
2020-05-29,847.0,0.1529985549132948
2020-05-30,694.0,0.1511653234589414
2020-05-31,549.0,0.17400950871632329
2020-06-01,848.0,0.19780732446932586
2020-06-02,927.0,0.19639830508474576
2020-06-03,935.0,0.17244559203246035
2020-06-04,880.0,0.17244757985498727
2020-06-05,970.0,0.17890077462191073
2020-06-06,1109.0,0.2148392096086788
2020-06-07,574.0,0.21506182090670664
2020-06-08,1037.0,0.21060113728675872
2020-06-09,1360.0,0.23676880222841226
2020-06-10,1355.0,0.21128956806486823
2020-06-11,1546.0,0.2303680524511995
2020-06-12,1644.0,0.2204048800107253
2020-06-13,1498.0,0.2280407976861014
2020-06-14,1056.0,0.237570303712036
2020-06-15,1289.0,0.2697216991002302
2020-06-16,1668.0,0.2578052550231839
2020-06-17,1938.0,0.24161575863358684
2020-06-18,2068.0,0.24487862640615748
2020-06-19,2097.0,0.24557910762384355
2020-06-20,2408.0,0.2932651321398124
2020-06-21,1469.0,0.2535819092007595
2020-06-22,2243.0,0.28624298111281266
2020-06-23,2642.0,0.28335478335478337
2020-06-24,2522.0,0.27692983419347755
2020-06-25,2959.0,0.30389236931293007
2020-06-26,3027.0,0.30026783057236384
2020-06-27,2347.0,0.28013845786583913
2020-06-28,1808.0,0.33107489470792895
2020-06-29,2278.0,0.2933676754668384
2020-06-30,2831.0,0.3188781257039874
2020-07-01,2830.0,0.3060121107266436
2020-07-02,2890.0,0.3075449611578163
2020-07-03,3405.0,0.327277970011534
2020-07-04,3333.0,0.3369048822399677
2020-07-05,1973.0,0.31735563776741194
2020-07-06,2957.0,0.34641518275538896
2020-07-07,3463.0,0.3332691752478106
2020-07-08,4153.0,0.34631420947298197
2020-07-09,3640.0,0.3322987036698923
2020-07-10,3606.0,0.35457227138643066
2020-07-11,3331.0,0.3482124189839013
2020-07-12,2156.0,0.32294787297783106
2020-07-13,3605.0,0.3554876244946258
2020-07-14,4199.0,0.3420495275333985
2020-07-15,4227.0,0.33590273363000633
2020-07-16,4571.0,0.3693140502545043
2020-07-17,5038.0,0.3673082531350248
